iter	Passed	Remaining
0	3	337
1	6	315
2	9	308
3	12	301
4	15	297
5	18	292
6	21	289
7	24	284
8	27	279
9	30	276
10	33	272
11	36	268
12	39	265
13	42	261
14	45	258
15	48	255
16	51	251
17	54	248
18	57	244
19	60	242
20	63	238
21	66	235
22	69	232
23	72	229
24	75	226
25	78	223
26	81	220
27	84	217
28	87	214
29	90	210
30	93	207
31	96	204
32	99	202
33	102	198
34	105	195
35	108	192
36	111	189
37	114	186
38	117	183
39	120	180
40	123	177
41	126	174
42	129	171
43	132	168
44	135	165
45	137	161
46	140	158
47	143	155
48	146	152
49	149	149
50	152	146
51	155	143
52	158	140
53	161	137
54	164	134
55	167	131
56	171	129
57	173	125
58	176	122
59	179	119
60	182	116
61	185	113
62	188	110
63	191	107
64	194	104
65	197	101
66	200	98
67	203	95
68	206	92
69	209	89
70	212	86
71	215	83
72	218	80
73	221	77
74	224	74
75	227	71
76	230	68
77	233	65
78	236	62
79	239	59
80	242	56
81	245	53
82	248	50
83	251	47
84	254	44
85	257	41
86	260	38
87	263	35
88	266	32
89	269	29
90	272	26
91	275	23
92	278	20
93	281	17
94	284	14
95	287	11
96	290	8
97	293	5
98	296	2
99	299	0
