iter	Logloss
0	0.6803736624
1	0.6617524938
2	0.6462299792
3	0.6310987901
4	0.6163923584
5	0.6033505222
6	0.587153554
7	0.5754868503
8	0.5609586919
9	0.5499923595
10	0.540705159
11	0.5302057664
12	0.5156312355
13	0.5067479893
14	0.491500626
15	0.4813570537
16	0.471400445
17	0.4652110683
18	0.4562603868
19	0.4480123159
20	0.4400984258
21	0.4316849855
22	0.4231999616
23	0.416002569
24	0.4090568899
25	0.4004296462
26	0.3913966334
27	0.3834453999
28	0.373267773
29	0.3672010648
30	0.3600392791
31	0.3529240348
32	0.3485508216
33	0.3415313013
34	0.3358201453
35	0.330572659
36	0.3247934454
37	0.3196743084
38	0.3142306313
39	0.3078533615
40	0.3031658164
41	0.2972832343
42	0.2930099697
43	0.2877931997
44	0.2832266291
45	0.2783401316
46	0.2735737808
47	0.2687324003
48	0.2645825074
49	0.2611282165
50	0.2570905406
51	0.2531156765
52	0.249134728
53	0.2463239837
54	0.2426438886
55	0.2385478302
56	0.2353618477
57	0.2318527997
58	0.2285324366
59	0.226197221
60	0.2226986428
61	0.2193462294
62	0.2169736781
63	0.214259053
64	0.2118979711
65	0.2090281643
66	0.2051194132
67	0.2023917431
68	0.1998901908
69	0.1962640834
70	0.1929371417
71	0.1901822521
72	0.188260857
73	0.1854212397
74	0.182749789
75	0.1804696379
76	0.1778980643
77	0.176558841
78	0.1745935294
79	0.1723727184
80	0.1705354834
81	0.1687802105
82	0.1667014875
83	0.1647693962
84	0.1623835443
85	0.160526055
86	0.1587665972
87	0.1573836835
88	0.1552236925
89	0.1531757467
90	0.1508233728
91	0.1487697891
92	0.1477234625
93	0.1461016659
94	0.1447207089
95	0.1422589257
96	0.1414321107
97	0.1397847904
98	0.1384670917
99	0.1376479187
